"DeviceName","DeviceClass","Manufacturer","DriverVersion","DriverDate","DriverProviderName","IsSigned","InfName"
"Cirrus Jack Retasking Audio Module","SYSTEM","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","True","oem147.inf"
"Composite Bus Enumerator","SYSTEM","Microsoft","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","compositebus.inf"
"Dell Peripheral Manager","SYSTEM","Dell Inc.","1.2.0.31","21-02-2024 05:30:00","Dell Inc.","True","oem199.inf"
"Docking Station","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Generic Bus","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"High precision event timer","SYSTEM","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","True","machine.inf"
"Intel (R) LPC Controller/eSPI Controller - 7703","SYSTEM","INTEL","10.1.57.6","18-07-1968 05:30:00","INTEL","True","oem188.inf"
"Intel (R) SMBus - 7722","SYSTEM","INTEL","10.1.57.6","18-07-1968 05:30:00","INTEL","True","oem188.inf"
"Intel (R) SPI (flash) controller - 7723","SYSTEM","INTEL","10.1.57.6","18-07-1968 05:30:00","INTEL","True","oem188.inf"
"Intel(R) GNA Scoring Accelerator module","SYSTEM","Intel Corporation","3.5.0.1578","14-11-2023 05:30:00","Intel Corporation","True","oem54.inf"
"Intel(R) HECI Protocol Device","SYSTEM","Intel","5.8.55.0","23-09-2025 05:30:00","Intel","True","oem247.inf"
"Intel(R) Innovation Platform Framework Extensible Framework","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem550.inf"
"Intel(R) Innovation Platform Framework Generic Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework Generic Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework Generic Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework Generic Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework Generic Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework Generic Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework Manager","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework PCH ACPI Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem549.inf"
"Intel(R) Innovation Platform Framework Processor Participant","SYSTEM","Intel","2.3.20304.7","05-01-2026 05:30:00","Intel","True","oem550.inf"
"Intel(R) Integrated Sensor Solution","SYSTEM","Intel","5.8.52.0","09-02-2025 05:30:00","Intel","True","oem210.inf"
"Intel(R) ISS HID Bus","SYSTEM","(Standard system devices)","5.8.52.0","09-02-2025 05:30:00","Intel","True","oem161.inf"
"Intel(R) Management Engine Interface #1","SYSTEM","Intel","2603.9.4.0","13-01-2026 05:30:00","Intel","True","oem561.inf"
"Intel(R) Platform Monitoring Technology (PMT) Driver","SYSTEM","Intel(R) Platform Monitoring Technology (PMT) Device","3.2.0.22","16-02-2026 05:30:00","Intel(R) Platform Monitoring Technology (PMT) Device","True","oem559.inf"
"Intel(R) Power Engine Plug-in","SYSTEM","Intel Corporation","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","True","intelpep.inf"
"Intel(R) Serial IO GPIO Host Controller - INTC105E","SYSTEM","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","True","oem391.inf"
"Intel(R) Serial IO I2C Host Controller - 7778","SYSTEM","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","True","oem20.inf"
"Intel(R) Serial IO I2C Host Controller - 777B","SYSTEM","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","True","oem20.inf"
"Intel(R) Serial IO UART Host Controller - 7725","SYSTEM","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","True","oem72.inf"
"Intel® Smart Sound Technology BUS","SYSTEM","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","True","oem2.inf"
