"FriendlyName","Class","Manufacturer","Status","Problem","InstanceId"
"HID-compliant headset","HIDClass","Microsoft","OK","CM_PROB_NONE","HID\VID_047F&PID_C058&MI_03&COL02\7&24D94F6A&0&0001"
"HID-compliant system controller","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\VID_FFFF&PID_BACE&REV_0002&MI_00&COL04\3&258C3FBC&0&0003"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\8&62FF1EE&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL03\7&27A9E0F&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\VID_413C&PID_4503&MI_01&COL03\7&3B0C56D4&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\CONVERTEDDEVICE&COL03\5&5923126&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\7&E77A003&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\7&25936E11&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\8&17CA6AF0&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\7&12C0DE21&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\INTC816&COL01\3&307E7B97&0&0000"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL03\8&29F3806E&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\9&1020ADD9&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\8&4955910&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\7&1A68576E&0&0002"
"HID-compliant system controller","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\8&1DFCDEF3&0&0002"
"HID-compliant touch pad","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\VEN_06CB&COL02\5&2AC58B1B&0&0001"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\8&62FF1EE&0&0003"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL01\8&3AFFADC2&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\9&27E43A1E&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\7&1A68576E&0&0004"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL05\7&2893BDB8&0&0004"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\8&1DFCDEF3&0&0004"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL03\7&2893BDB8&0&0002"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C057&MI_03&COL03\7&7092578&0&0002"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\7&36981BE3&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\8&24C30B19&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\VID_413C&PID_4503&MI_02&COL01\7&29E6D75C&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\8&17CA6AF0&0&0003"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C538&MI_01&COL01\8&198EA069&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C538&MI_01&COL02\8&198EA069&0&0001"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_0424&PID_284C&MI_01\8&2024EC15&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\8&62FF1EE&0&0004"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_0424&PID_284C&MI_01\8&2DC08571&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\VID_047F&PID_C058&MI_03&COL03\7&24D94F6A&0&0002"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\7&E77A003&0&0004"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C058&MI_03&COL03\7&6704BE1&0&0002"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\8&17CA6AF0&0&0004"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C538&MI_01&COL03\8&198EA069&0&0002"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\8&1DFCDEF3&0&0003"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\7&1A68576E&0&0003"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\7&E77A003&0&0003"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\7&126351D3&0&0000"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","OK","CM_PROB_NONE","HID\VEN_06CB&COL04\5&2AC58B1B&0&0003"
"HID-compliant vendor-defined device","HIDClass","(Standard system devices)","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL01\7&1A3E2A54&0&0000"
"I2C HID Device","HIDClass","Microsoft","OK","CM_PROB_NONE","ACPI\VEN_06CB\4&39FF1A53&0"
