"FriendlyName","Class","Status","Problem","InstanceId"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503&MI_02\7&17DFCA00&0&0002"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C538&MI_01&COL03\8&198EA069&0&0002"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL01\7&25936E11&0&0000"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL03\8&29F3806E&0&0002"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\9&1020ADD9&0&0001"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\7&12C0DE21&0&0002"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C058&MI_03&COL03\7&6704BE1&0&0002"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534\6&196302D4&0&2"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534\6&196302D4&0&3"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_0424&PID_284C&MI_01\8&2DC08571&0&0000"
"Logi USB Headset","MEDIA","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_0A8F&MI_00\6&25A8D75B&0&0000"
"Beatbox","Miracast","Unknown","CM_PROB_PHANTOM","SWD\ASPINFRA\BEATBOX._DISPLAY._TCP.LOCAL#MIRACAST"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_01\6&20A717C4&0&0001"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_047F&PID_C058\66894F7A611AC04D8DE7E8BE38E4DE4B"
"Generic Monitor (HP 22cw)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\HWP3183\4&20B8D095&0&UID8263"
"HID-compliant headset","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C058&MI_03&COL02\7&6704BE1&0&0001"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534\6&6A9522F&0&2"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\7&126351D3&0&0000"
"Bluetooth Device (Personal Area Network)","Net","Unknown","CM_PROB_PHANTOM","BTH\MS_BTHPAN\6&4CC9C94&0&2"
"Intel(R) PMT IPF Extension Provider","SoftwareComponent","Degraded","CM_PROB_NONE","SWD\DRIVERENUM\{943855CC-EDB2-421E-BF96-9D11D12E7430}#IPFEFPMTPROVIDERCOMPONENT&4&22E119FC&0"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C058&MI_03&COL01\7&6704BE1&0&0000"
"Generic Monitor","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\DEFAULT_MONITOR\1&8713BCA&0&UID0"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_A524\0000000000000000"
"Generic USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_2806\5&2DC84FBA&0&1"
"Generic USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_2806\5&2DC84FBA&0&2"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL03\7&2893BDB8&0&0002"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\7&1A68576E&0&0002"
