"DeviceName","Manufacturer","DriverVersion","DriverDate","DriverProviderName","InfName","IsSigned"
"WinUsb Device","WinUsb Device","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","winusb.inf","True"
"Camera AI Effect Opt-out","Dell Technologies","1.0.0.1","27-06-2024 05:30:00","Dell Technologies","oem486.inf","True"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","21-06-2006 05:30:00","Microsoft","usb.inf","True"
"USB Root Hub (USB 3.0)","(Standard USB HUBs)","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","usbhub3.inf","True"
"USB xHCI Compliant Host Controller","Generic USB xHCI Host Controller","10.0.26100.8875","07-10-2026 05:30:00","Microsoft","usbxhci.inf","True"
"HID Sensor Collection V2","Microsoft","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","sensorshidclassdriver.inf","True"
"Intel(R) ISS HID Device","Intel","5.8.50.0","25-08-2025 05:30:00","Intel","oem87.inf","True"
"Intel(R) ISS HID Bus","(Standard system devices)","5.8.52.0","09-02-2025 05:30:00","Intel","oem161.inf","True"
"Intel(R) HECI Protocol Device","Intel","5.8.55.0","23-09-2025 05:30:00","Intel","oem247.inf","True"
"Intel(R) Integrated Sensor Solution","Intel","5.8.52.0","09-02-2025 05:30:00","Intel","oem210.inf","True"
"Intel(R) Optane(TM) Memory and Storage Management Component","Intel Corporation","20.2.13.1038","04-02-2026 05:30:00","Intel Corporation","oem514.inf","True"
"Disk drive","(Standard disk drives)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","disk.inf","True"
"Intel RST VMD Controller 7D0B","Intel Corporation","20.2.13.1038","04-02-2026 05:30:00","Intel Corporation","oem512.inf","True"
"USB4 Root Router","Generic USB4 Device Router","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","usb4devicerouter.inf","True"
"USB4 Virtual power coordination device",,,,,,
"USB4(TM) Host Router (Microsoft)","Generic USB4 Host Router","10.0.26100.8737","18-06-2026 05:30:00","Microsoft","usb4hostrouter.inf","True"
